municipality,hub_score,risk_score,is_saddle,is_maxima,degree
353190.0,2.1014796205399353,0.5949434412385658,True,False,20
260960.0,2.069751133351271,0.5697511333512711,True,False,8
412880.0,2.0238783174837245,0.5178558606772029,True,False,22
353950.0,2.0210399322068113,0.5157748761644222,True,False,22
240800.0,2.0174920712620867,0.5174920712620867,True,False,6
330187.0,1.985683260427701,0.4848883365756641,True,False,3
330285.0,1.9834275532524839,0.4821258089150718,True,False,5
520330.0,1.9693629502772758,0.4693629502772757,True,False,15
354630.0,1.9690188653456604,0.4637830909278186,True,False,21
293070.0,1.9641611757161934,0.4631197802462636,True,False,4
110149.0,1.962423506256624,0.4537812286738405,True,False,23
291080.0,1.9606205791725873,0.7563033069758762,False,True,12
110145.0,1.9582708603755263,0.4582708603755263,True,False,5
270230.0,1.9523901592256503,0.4523901592256502,True,False,3
355170.0,1.9505764792221365,0.44603165005732276,True,False,17
330555.0,1.941360787653458,0.441360787653458,True,False,2
110175.0,1.9342427408559648,0.4301610662085924,True,False,11
230110.0,1.9329022488448773,0.4284667708021368,True,False,17
520545.0,1.9306072167852075,0.43060721678520747,True,False,3
312600.0,1.9303699033416684,0.4303699033416684,True,False,4
